date,home_team,away_team,home_score,away_score,competition,stadium,city,country
2/25/1956,Ireland,Scotland,14,10,1956 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/10/1956,Ireland,Wales,11,3,1956 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/17/1956,Scotland,England,6,11,1956 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/24/1956,Wales,France,5,3,1956 Five Nations Championship,National Stadium,Cardiff,Wales
4/2/1956,Italy,France,3,16,Test Match,Stadio Plebiscito,Padua,Italy
4/14/1956,France,England,14,9,1956 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
5/26/1956,Australia,South Africa,0,9,1956 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia
6/2/1956,Australia,South Africa,0,9,1956 South Africa tour of Australia and New Zealand,Brisbane Exhibition Ground,Brisbane,Australia
7/14/1956,New Zealand,South Africa,10,6,1956 South Africa tour,Carisbrook,Dunedin,New Zealand
8/4/1956,New Zealand,South Africa,3,8,1956 South Africa tour,Athletic Park,Wellington,New Zealand
8/18/1956,New Zealand,South Africa,17,10,1956 South Africa tour,Lancaster Park,Christchurch,New Zealand
9/1/1956,New Zealand,South Africa,11,5,1956 South Africa tour,Eden Park,Auckland,New Zealand
1/12/1957,France,Scotland,0,6,1957 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/19/1957,Wales,England,0,3,1957 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/26/1957,Ireland,France,11,6,1957 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/2/1957,Scotland,Wales,9,6,1957 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/9/1957,Ireland,England,0,6,1957 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/23/1957,Scotland,Ireland,3,5,1957 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/23/1957,England,France,9,5,1957 Five Nations Championship,Twickenham,London,England
3/9/1957,Wales,Ireland,6,5,1957 Five Nations Championship,National Stadium,Cardiff,Wales
3/16/1957,England,Scotland,16,3,1957 Five Nations Championship,Twickenham Stadium,London,England
3/23/1957,France,Wales,13,19,1957 Five Nations Championship,Stade Colombes,Paris,France
4/21/1957,France,Italy,38,6,Test Match,Stade Armandie,Agen,France
5/25/1957,Australia,New Zealand,11,25,1957 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
6/1/1957,Australia,New Zealand,9,22,1957 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia
1/4/1958,Wales,Australia,9,3,"1957–58 Australia tour of Great Britain, Ireland and France",National Stadium,Cardiff,Wales
1/11/1958,Scotland,France,11,9,1958 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/18/1958,England,Wales,3,3,1958 Five Nations Championship,Twickenham,London,England
1/18/1958,Ireland,Australia,9,6,"1957–58 Australia tour of Great Britain, Ireland and France",Lansdowne Road,Dublin,Ireland
2/1/1958,Wales,Scotland,8,3,1958 Five Nations Championship,National Stadium,Cardiff,Wales
2/1/1958,England,Australia,9,6,"1957–58 Australia tour of Great Britain, Ireland and France",Twickenham Stadium,London,England
2/8/1958,England,Ireland,6,0,1958 Five Nations Championship,Twickenham,London,England
2/15/1958,Scotland,Australia,12,8,"1957–58 Australia tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland
3/1/1958,Ireland,Scotland,12,6,1958 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/1/1958,France,England,0,14,1958 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
3/9/1958,France,Australia,19,0,"1957–58 Australia tour of Great Britain, Ireland and France",Stade Yves-du-Manoir,Colombes,France
3/15/1958,Scotland,England,3,3,1958 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/15/1958,Ireland,Wales,6,9,1958 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/29/1958,Wales,France,6,16,1958 Five Nations Championship,National Stadium,Cardiff,Wales
4/7/1958,Italy,France,3,11,Test Match,Stadio Arturo Collana,Naples,Italy
4/19/1958,France,Ireland,11,6,1958 Five Nations Championship,Colombes,Paris,France
7/26/1958,South Africa,France,3,3,1958 France rugby union tour of South Africa,Newlands,Cape Town,South Africa
8/16/1958,South Africa,France,5,9,1958 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa
8/23/1958,New Zealand,Australia,25,3,1958 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand
9/6/1958,New Zealand,Australia,3,6,1958 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand
9/20/1958,New Zealand,Australia,17,8,1958 Australia tour of New Zealand,Epsom Showgrounds,Auckland,New Zealand
1/10/1959,France,Scotland,9,0,1959 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/17/1959,Wales,England,5,0,1959 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
2/7/1959,Scotland,Wales,6,5,1959 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/14/1959,Ireland,England,0,3,1959 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/28/1959,Scotland,Ireland,3,8,1959 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/28/1959,England,France,3,3,1959 Five Nations Championship,Twickenham,London,England
3/14/1959,Wales,Ireland,8,6,1959 Five Nations Championship,National Stadium,Cardiff,Wales
3/21/1959,England,Scotland,3,3,1959 Five Nations Championship,Twickenham Stadium,London,England
3/29/1959,France,Italy,22,0,Test Match,Stade Marcel Saupin,Nantes,France
4/4/1959,France,Wales,11,3,1959 Five Nations Championship,Stade Colombes,Paris,France
4/18/1959,Ireland,France,9,5,1959 Five Nations Championship,Lansdowne Road,Dublin,Ireland
1/9/1960,Scotland,France,11,13,1960 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/16/1960,England,Wales,14,6,1960 Five Nations Championship,Twickenham,London,England
2/6/1960,Wales,Scotland,8,0,1960 Five Nations Championship,National Stadium,Cardiff,Wales
2/13/1960,England,Ireland,8,5,1960 Five Nations Championship,Twickenham,London,England
2/27/1960,Ireland,Scotland,5,6,1960 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/27/1960,France,England,3,3,1960 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
3/12/1960,Ireland,Wales,9,10,1960 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/19/1960,Scotland,England,12,21,1960 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/26/1960,Wales,France,8,16,1960 Five Nations Championship,National Stadium,Cardiff,Wales
4/9/1960,France,Ireland,23,6,1960 Five Nations Championship,Colombes,Paris,France
4/17/1960,Italy,France,0,26,Test Match,Stadio Comunale di Monigo,Treviso,Italy
4/30/1960,South Africa,Scotland,18,10,,EPRU Stadium,Port Elizabeth,South Africa
6/25/1960,South Africa,New Zealand,13,0,1960 New Zealand tour,Ellis Park,Johannesburg,South Africa
7/23/1960,Argentina,France,3,37,1960 France tour of Argentina and Uruguay,Ferro Carrill Oeste,Buenos Aires,Argentina
7/23/1960,South Africa,New Zealand,3,11,1960 New Zealand tour,Newlands,Cape Town,South Africa
8/6/1960,Argentina,France,3,12,1960 France tour of Argentina and Uruguay,Ferro Carrill Oeste,Buenos Aires,Argentina
8/13/1960,South Africa,New Zealand,11,11,1960 New Zealand tour,Free State Stadium,Bloemfontein,South Africa
8/17/1960,Argentina,France,6,29,1960 France tour of Argentina and Uruguay,Ferro Carrill Oeste,Buenos Aires,Argentina
8/27/1960,South Africa,New Zealand,8,3,1960 New Zealand tour,Boet Erasmus Stadium,Port Elizabeth,South Africa
12/3/1960,Wales,South Africa,0,3,1960–61 South Africa tour of Europe,National Stadium,Cardiff,Wales
12/17/1960,Ireland,South Africa,3,8,1960–61 South Africa rugby union tour of Europe,Lansdowne Road,Dublin,Ireland
1/7/1961,France,Scotland,11,0,1961 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/7/1961,England,South Africa,0,5,1960-61 South Africa rugby union tour of Europe,Twickenham,London,England
1/21/1961,Wales,England,6,3,1961 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/21/1961,Scotland,South Africa,5,12,1960–61 South Africa rugby union tour of Europe,Murrayfield,Edinburgh,Scotland
2/11/1961,Scotland,Wales,3,0,1961 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/11/1961,Ireland,England,11,8,1961 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/18/1961,France,South Africa,0,0,1960–61 South Africa rugby union tour of Europe,Yves-du-Manoir,Colombes,France
2/25/1961,Scotland,Ireland,16,8,1961 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/25/1961,England,France,5,5,1961 Five Nations Championship,Twickenham,London,England
3/11/1961,Wales,Ireland,9,0,1961 Five Nations Championship,National Stadium,Cardiff,Wales
3/18/1961,England,Scotland,6,0,1961 Five Nations Championship,Twickenham Stadium,London,England
3/25/1961,France,Wales,8,6,1961 Five Nations Championship,Stade Colombes,Paris,France
4/2/1961,France,Italy,17,0,Test Match,Stade Municipal,Chambéry,France
4/15/1961,Ireland,France,3,15,1961 Five Nations Championship,Lansdowne Road,Dublin,Ireland
5/13/1961,South Africa,Ireland,24,8,1961 Ireland rugby union tour of South Africa,Newlands,Cape Town,South Africa
7/22/1961,New Zealand,France,13,6,1961 French tour of New Zealand,Eden Park,Auckland,New Zealand
8/5/1961,New Zealand,France,5,3,1961 French tour of New Zealand,Athletic Park,Wellington,New Zealand
8/5/1961,South Africa,Australia,28,3,1961 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa
8/12/1961,South Africa,Australia,23,11,1961 Australia tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa
8/19/1961,New Zealand,France,32,3,1961 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand
8/26/1961,Australia,France,8,15,1961 France tour of New Zealand and Australia,Sydney Cricket Ground,Sydney,Australia
1/13/1962,Scotland,France,3,11,1962 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/20/1962,England,Wales,0,0,1962 Five Nations Championship,Twickenham,London,England
2/3/1962,Wales,Scotland,3,8,1962 Five Nations Championship,National Stadium,Cardiff,Wales
2/10/1962,England,Ireland,16,0,1962 Five Nations Championship,Twickenham,London,England
2/24/1962,France,England,13,0,1962 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
2/24/1962,Ireland,Scotland,6,20,1962 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/17/1962,Scotland,England,3,3,1962 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/24/1962,Wales,France,3,0,1962 Five Nations Championship,National Stadium,Cardiff,Wales
4/14/1962,France,Ireland,11,0,1962 Five Nations Championship,Colombes,Paris,France
4/22/1962,Italy,France,3,6,Test Match,Stadio Mompiano,Brescia,Italy
5/26/1962,Australia,New Zealand,6,20,1962 New Zealand tour of Australia,Brisbane Exhibition Ground,Brisbane,Australia
6/4/1962,Australia,New Zealand,5,14,1962 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
8/25/1962,New Zealand,Australia,9,9,1962 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand
9/8/1962,New Zealand,Australia,3,0,1962 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand
9/22/1962,New Zealand,Australia,16,8,1962 Australia tour of New Zealand,Eden Park,Auckland,New Zealand
11/17/1962,Ireland,Wales,3,3,1962 Five Nations Championship,Lansdowne Road,Dublin,Ireland
1/12/1963,France,Scotland,6,11,1963 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/19/1963,Wales,England,6,13,1963 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/26/1963,Ireland,France,5,24,1963 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/2/1963,Scotland,Ireland,3,0,1963 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/2/1963,Scotland,Wales,0,6,1963 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/11/1963,Ireland,England,0,0,1963 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/23/1963,England,France,6,5,1963 Five Nations Championship,Twickenham,London,England
3/9/1963,Wales,Ireland,6,14,1963 Five Nations Championship,National Stadium,Cardiff,Wales
3/16/1963,England,Scotland,10,8,1963 Five Nations Championship,Twickenham Stadium,London,England
3/23/1963,France,Wales,5,3,1963 Five Nations Championship,Stade Colombes,Paris,France
4/14/1963,France,Italy,14,12,Test Match,Stade Lesdiguières,Grenoble,France
5/25/1963,New Zealand,England,21,11,1963 England rugby union tour of Australasia,Eden Park,Auckland,New Zealand
6/1/1963,New Zealand,England,9,6,1963 England rugby union tour of Australasia,Lancaster Park,Christchurch,New Zealand
6/4/1963,Australia,England,18,9,1963 England tour of Australia and New Zealand,Sydney Sports Ground,Sydney,Australia
7/13/1963,South Africa,Australia,14,3,1963 Australia tour of South Africa,Loftus Versfeld Stadium,Pretoria,South Africa
8/10/1963,South Africa,Australia,5,9,1963 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa
8/24/1963,South Africa,Australia,9,11,1963 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa
9/7/1963,South Africa,Australia,22,6,1963 Australia tour of South Africa,Boet Erasmus Stadium,Port Elizabeth,South Africa
12/7/1963,Ireland,New Zealand,5,6,"1963–64 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland
12/21/1963,Wales,New Zealand,0,6,1963–64 New Zealand tour of Europe and North America,National Stadium,Cardiff,Wales
1/4/1964,England,New Zealand,0,14,"1963–64 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England
1/4/1964,Scotland,France,10,0,1964 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/18/1964,Scotland,New Zealand,0,0,1963-64 New Zealand tour,Murrayfield,Edinburgh,Scotland
1/18/1964,England,Wales,6,6,1964 Five Nations Championship,Twickenham,London,England
2/1/1964,Wales,Scotland,11,3,1964 Five Nations Championship,National Stadium,Cardiff,Wales
2/8/1964,France,New Zealand,3,12,1963–64 New Zealand tour,Yves-du-Manoir,Colombes,France
2/8/1964,England,Ireland,5,18,1964 Five Nations Championship,Twickenham,London,England
2/22/1964,France,England,3,6,1964 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
2/22/1964,Ireland,Scotland,3,6,1964 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/7/1964,Ireland,Wales,6,15,1964 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/21/1964,Scotland,England,15,6,1964 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/21/1964,Wales,France,11,11,1964 Five Nations Championship,National Stadium,Cardiff,Wales
3/29/1964,Italy,France,3,12,Test Match,Stadio XXV Aprile,Parma,Italy
4/11/1964,France,Ireland,27,6,1964 Five Nations Championship,Colombes,Paris,France
5/23/1964,South Africa,Wales,24,3,1964 Wales tour of Kenya and South Africa,Kings Park,Durban,South Africa
7/25/1964,South Africa,France,6,8,1964 France rugby union tour of South Africa,Pam Brink Stadium,Springs,South Africa
8/15/1964,New Zealand,Australia,14,9,1964 Australia tour of New Zealand,Carisbrook,Dunedin,New Zealand
8/22/1964,New Zealand,Australia,18,3,1964 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand
8/29/1964,New Zealand,Australia,5,20,1964 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand
1/9/1965,France,Scotland,16,8,1965 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/16/1965,Wales,England,14,3,1965 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/23/1965,Ireland,France,3,3,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/6/1965,Scotland,Wales,12,14,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/13/1965,Ireland,England,5,0,1965 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/27/1965,England,France,9,6,1965 Five Nations Championship,Twickenham,London,England
2/27/1965,Scotland,Ireland,6,16,1965 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/13/1965,Wales,Ireland,14,8,1965 Five Nations Championship,National Stadium,Cardiff,Wales
3/20/1965,England,Scotland,3,3,1965 Five Nations Championship,Twickenham Stadium,London,England
3/27/1965,France,Wales,22,13,1965 Five Nations Championship,Stade Colombes,Paris,France
4/10/1965,Ireland,South Africa,9,6,1965 South Africa rugby union tour of Scotland and Ireland,Lansdowne Road,Dublin,Ireland
4/17/1965,Scotland,South Africa,8,5,1965 South Africa rugby union tour of Scotland and Ireland,Murrayfield,Edinburgh,Scotland
4/18/1965,France,Italy,21,0,Test Match,Gare de La Croix du Prince,Pau,France
6/19/1965,Australia,South Africa,18,11,1965 South Africa tour of Australia and New Zealand,Sydney Cricket Ground,Sydney,Australia
6/26/1965,Australia,South Africa,12,8,1965 South Africa tour of Australia and New Zealand,Lang Park,Brisbane,Australia
7/31/1965,New Zealand,South Africa,6,3,1965 South Africa tour,Athletic Park,Wellington,New Zealand
8/21/1965,New Zealand,South Africa,13,0,1965 South Africa tour,Carisbrook,Dunedin,New Zealand
9/4/1965,New Zealand,South Africa,16,19,1965 South Africa tour,Lancaster Park,Christchurch,New Zealand
9/18/1965,New Zealand,South Africa,20,3,1965 South Africa tour,Eden Park,Auckland,New Zealand
1/15/1966,Scotland,France,3,3,1966 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/15/1966,England,Wales,6,11,1966 Five Nations Championship,Twickenham,London,England
1/29/1966,France,Ireland,11,6,1966 Five Nations Championship,Colombes,Paris,France
2/5/1966,Wales,Scotland,8,3,1966 Five Nations Championship,National Stadium,Cardiff,Wales
2/12/1966,England,Ireland,6,6,1966 Five Nations Championship,Twickenham,London,England
2/26/1966,Ireland,Scotland,3,11,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/26/1966,France,England,13,0,1966 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
3/12/1966,Ireland,Wales,9,6,1966 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/19/1966,Scotland,England,6,3,1966 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/26/1966,Wales,France,9,8,1966 Five Nations Championship,National Stadium,Cardiff,Wales
4/9/1966,Italy,France,0,21,1966–67 FIRA Nations Cup,Stadio Arturo Collana,Naples,Italy
12/3/1966,Wales,Australia,11,14,"1966–67 Australia tour of Great Britain, Ireland and France",National Stadium,Cardiff,Wales
12/17/1966,Scotland,Australia,11,5,"1966–67 Australia tour of Great Britain, Ireland and France",Murrayfield Stadium,Edinburgh,Scotland
1/7/1967,England,Australia,11,23,"1966–67 Australia tour of Great Britain, Ireland and France",Twickenham Stadium,London,England
1/14/1967,France,Scotland,8,9,1967 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/21/1967,Ireland,Australia,15,8,"1966–67 Australia tour of Great Britain, Ireland and France",Lansdowne Road,Dublin,Ireland
2/4/1967,Scotland,Wales,11,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/11/1967,Ireland,England,3,8,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/11/1967,France,Australia,20,14,"1966–67 Australia tour of Great Britain, Ireland and France",Stade Yves-du-Manoir,Colombes,France
2/25/1967,Scotland,Ireland,3,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/25/1967,England,France,12,16,1967 Five Nations Championship,Twickenham,London,England
3/11/1967,Wales,Ireland,0,3,1967 Five Nations Championship,National Stadium,Cardiff,Wales
3/18/1967,England,Scotland,27,14,1967 Five Nations Championship,Twickenham Stadium,London,England
3/26/1967,France,Italy,60,13,1967–68 FIRA Nations Cup,Stade Mayol,Toulon,France
4/1/1967,France,Wales,20,14,1967 Five Nations Championship,Stade Colombes,Paris,France
4/15/1967,Wales,England,34,21,1967 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
4/15/1967,Ireland,France,6,11,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland
5/13/1967,Australia,Ireland,5,11,1967 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia
7/15/1967,South Africa,France,26,3,1967 France rugby union tour of South Africa,Kings Park,Durban,South Africa
7/22/1967,South Africa,France,16,3,1967 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa
7/29/1967,South Africa,France,14,19,1967 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa
8/12/1967,South Africa,France,6,6,1967 France rugby union tour of South Africa,Newlands,Cape Town,South Africa
8/19/1967,New Zealand,Australia,29,9,1967 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand
11/4/1967,England,New Zealand,11,23,"1967 New Zealand rugby union tour of Britain, France and Canada",Twickenham,London,England
11/11/1967,Wales,New Zealand,6,13,"1967 New Zealand tour of Great Britain, France and Canada",National Stadium,Cardiff,Wales
11/25/1967,France,New Zealand,15,21,1967 New Zealand tour,Yves-du-Manoir,Colombes,France
12/2/1967,Scotland,New Zealand,3,14,1967 New Zealand tour,Murrayfield,Edinburgh,Scotland
1/13/1968,Scotland,France,6,8,1968 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/20/1968,England,Wales,11,11,1968 Five Nations Championship,Twickenham,London,England
1/27/1968,France,Ireland,16,6,1968 Five Nations Championship,Colombes,Paris,France
2/3/1968,Wales,Scotland,5,0,1968 Five Nations Championship,National Stadium,Cardiff,Wales
2/10/1968,England,Ireland,9,9,1968 Five Nations Championship,Twickenham,London,England
2/24/1968,France,England,14,9,1968 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
2/24/1968,Ireland,Scotland,14,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/9/1968,Ireland,Wales,9,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland
3/16/1968,Scotland,England,6,8,1968 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
3/23/1968,Wales,France,9,14,1968 Five Nations Championship,National Stadium,Cardiff,Wales
6/15/1968,Australia,New Zealand,11,27,1968 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia
6/22/1968,Australia,New Zealand,18,19,1968 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia
7/13/1968,New Zealand,France,12,9,1968 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand
7/27/1968,New Zealand,France,9,3,1968 French tour of New Zealand,Athletic Park,Wellington,New Zealand
8/10/1968,New Zealand,France,19,12,1968 French tour of New Zealand,Eden Park,Auckland,New Zealand
8/17/1968,Australia,France,11,10,1968 France tour of New Zealand and Australia,Sydney Cricket Ground,Sydney,Australia
10/26/1968,Ireland,Australia,10,3,1968 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland
11/6/1968,Scotland,Australia,9,3,1968 Australia tour of Great Britain and Ireland,Murrayfield Stadium,Edinburgh,Scotland
11/9/1968,France,South Africa,9,12,1968 South Africa rugby union tour of France,Parc Lescure,Bordeaux,France
11/16/1968,France,South Africa,11,16,1968 South Africa rugby union tour of France,Yves-du-Manoir,Colombes,France
1/11/1969,France,Scotland,3,6,1969 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/25/1969,Ireland,France,17,9,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/1/1969,Scotland,Wales,3,17,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/8/1969,Ireland,England,17,15,1969 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/22/1969,Scotland,Ireland,0,16,1969 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/22/1969,England,France,22,8,1969 Five Nations Championship,Twickenham,London,England
3/8/1969,Wales,Ireland,24,11,1969 Five Nations Championship,National Stadium,Cardiff,Wales
3/15/1969,England,Scotland,8,3,1969 Five Nations Championship,Twickenham Stadium,London,England
3/22/1969,France,Wales,8,8,1969 Five Nations Championship,Stade Colombes,Paris,France
4/12/1969,Wales,England,30,9,1969 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
5/31/1969,New Zealand,Wales,19,0,"1969 Wales tour of New Zealand, Australia and Fiji",Lancaster Park,Christchurch,New Zealand
6/14/1969,New Zealand,Wales,33,12,"1969 Wales tour of New Zealand, Australia and Fiji",Eden Park,Auckland,New Zealand
6/21/1969,Australia,Wales,16,19,"1969 Wales tour of Australia, New Zealand and Fiji",Sydney Cricket Ground,Sydney,Australia
8/2/1969,South Africa,Australia,30,11,1969 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa
8/16/1969,South Africa,Australia,16,9,1969 Australia tour of South Africa,Kings Park Stadium,Durban,South Africa
9/6/1969,South Africa,Australia,11,3,1969 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa
9/20/1969,South Africa,Australia,19,8,1969 Australia tour of South Africa,Free State Stadium,Bloemfontein,South Africa
12/6/1969,Scotland,South Africa,6,3,1969–70 South Africa rugby union tour of Britain and Ireland,Murrayfield,Edinburgh,Scotland
12/20/1969,England,South Africa,11,8,1969-70 South Africa rugby union tour of Britain and Ireland,Twickenham,London,England
1/10/1970,Scotland,France,9,11,1970 Five Nations Championship,Murrayfield,Edinburgh,Scotland
1/10/1970,Ireland,South Africa,8,8,1969–70 South Africa rugby union tour of Britain and Ireland,Lansdowne Road,Dublin,Ireland
1/24/1970,Wales,South Africa,6,6,1969–70 South Africa tour of Great Britain and Ireland,National Stadium,Cardiff,Wales
1/24/1970,France,Ireland,8,0,1970 Five Nations Championship,Colombes,Paris,France
2/7/1970,Wales,Scotland,18,9,1970 Five Nations Championship,National Stadium,Cardiff,Wales
2/14/1970,England,Ireland,9,3,1970 Five Nations Championship,Twickenham,London,England
2/21/1970,Scotland,England,14,5,1970 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/28/1970,Ireland,Scotland,16,11,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/28/1970,England,Wales,13,17,1970 Five Nations Championship,Twickenham,London,England
3/14/1970,Ireland,Wales,14,0,1970 Five Nations Championship,Lansdowne Road,Dublin,Ireland
4/4/1970,Wales,France,11,6,1970 Five Nations Championship,National Stadium,Cardiff,Wales
4/18/1970,France,England,35,13,1970 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
6/6/1970,Australia,Scotland,23,3,1970 Scotland tour of Australia,Sydney Cricket Ground,Sydney,Australia
7/25/1970,South Africa,New Zealand,17,6,1970 New Zealand tour,Loftus Versfeld Stadium,Pretoria,South Africa
8/8/1970,South Africa,New Zealand,8,9,1970 New Zealand tour,Newlands,Cape Town,South Africa
8/29/1970,South Africa,New Zealand,14,3,1970 New Zealand tour,Boet Erasmus Stadium,Port Elizabeth,South Africa
9/12/1970,South Africa,New Zealand,20,17,1970 New Zealand tour,Ellis Park,Johannesburg,South Africa
1/16/1971,France,Scotland,13,8,1971 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France
1/16/1971,Wales,England,22,6,1971 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales
1/30/1971,Ireland,France,9,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/6/1971,Scotland,Wales,18,19,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/13/1971,Ireland,England,6,9,1971 Five Nations Championship,Lansdowne Road,Dublin,Ireland
2/27/1971,Scotland,Ireland,5,17,1971 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland
2/27/1971,England,France,14,14,1971 Five Nations Championship,Twickenham,London,England
3/13/1971,Wales,Ireland,23,9,1971 Five Nations Championship,National Stadium,Cardiff,Wales
3/20/1971,England,Scotland,15,16,1971 Five Nations Championship,Twickenham Stadium,London,England
